018BAC	016258
019696	01575E
01969A	015802
01969D	015C9B
01969F	019699
0196A0	019690
0196A3	0190BB
0196A6	019674
0196AD	019651
0196B2	019A98
0196B7	0196B6
0196B8	0196B6
0196D1	016742
0196E7	0196C6
019721	019722
019734	0153C7
019740	018499
019741	0196F7
019746	0153C7
019749	0153C6
01974C	015B9D
019751	019752
01975D	019754
019763	019762
019764	0175B1
01976D	0197E7
019771	0197E7
017E98	017F35
017E9D	017F27
0162C9,01934A	0162C9,0194FE
017F59	016DF1
017F63	016302
017F70	017F5A
017F75	019A82
017F78	017F5A
017F80	017F76
017F84	017F69
017F88	017F81
017F90	0183F1
017F97	017F8C
017FA2	017ED2
017FA3	017FA4
017FAE	017FB9
017FE4	017FC5
017FEB	0173A9
017FEC	017FDA
017FF6	017FF1
0197A9	019798
0197B0	0197EB
0197B1	0197EC
0197B5	01978B
0197B9	01979F
0197BD	019792
0197BE	019774
0197C0	0197AF
0197C1	017F30
0197C8	01889C
0197C9	0197AF
0197CC	0197E7
0197D2	019798
0197D9	0197EA
0197DA	019769
0197DC	0197EC
018080	01807F
01789C	01789C
01981A	019888
01981F	01989D
019824	019890
019825	019890
01982A	017C7B
01982B	014FEF
01982C	01988A
019834	019896
01983A	019893
01983C	018D56
01983D	019893
01983E	019AED
01983F	019AED
019844	019894
019847	0160B4
01984A	019890
01984B	01816E
019870	0198A6
019871	019885
0198B1	0153F0
0198B3	01522E
0198B7	0198D9
0198BA	0198CF
0198C3	0198D8
0198C5	0198D7
0198C6	0198D9
0198C7	0198D9
0198C8	0198DA
0198CA	0198DA
0198DC	017FFB
0198E1	019910
0198E4	019972
017FFA	017FF1
017FFD	017FD9
018008	018007
018009	018007
01800A	01800B
018011	014E13
01802E	018022
01802F	0183B7
01803C	018043
018040	01804C
018053	015A7F
018088	018087
01808A	0181C6
01808E	0180AF
018090	0180F3
018094	0180E3
0180A7	0180DA
0180A8	0180D6
0180AC	0175A3
0180B3	01543B
0180BB	0180AF
01953A	01949F
019908	017CCD
019919	019970
01991C	019983
01991D	019970
01991F	01555C
019920	01997C
019927	015582
019928	019986
01992A	016696
01992C	017CCA
019931	017CC7
019939	017CD6
01993B	017CD5
01993D	019988
019943	01998D
019944	017CD6
0199BF	019A74
0199C4	019A6E
0199C5	019A7F
0199C6	019A71
0199C8	019A71
01766F	0181DE
0188B7	015939
0180DF	0162C7
0180E2	019ABC
0180EE	018180
0180F7	0180F8
018103	018106
018104	018122
018105	0180C1
018107	0180C1
018108	018109
01810B	0180C1
01540D,017740	01540D,018457
018141	0180FC
018157	01813E
019A08	019A88
019A10	019A8C
019A12	019A9A
019A13	019A8C
019A18	019AA2
019A21	0199E9
019A23	019B03
019A2D	019A98
019A5D	019A7C
019A63	01817E
019A65	019AA5
019A66	019AA6
019A69	016B22
019AB5	014F53
019ABD	01817F
019ABE	019CA0
019AC3	018162
019AC4	019AD3
019AC8	018180
019AD7	019885
019AD9	019AD8
018839	018839
018184	017626
018186	0155C9
018190	018182
018193	0180A0
018195	018158
018196	018180
019B09	019B03
019B1B	019B23
019B22	019B13
019B26	016597
019B27	0195F9
019B28	0154C4
019B2A	016597
019B2C	016597
019B2D	016597
019B30	0190C1
019B34	0191DC
019B3D	019B45
019B40	015C2C
019B50	015C34
019B57	014E11
019EB4	0166F2
019B81	019C85
019B89	019CB7
019B8C	019CA7
019B8E	019C87
019B99	019CCE
019BAE	019C9C
019BB7	019CC0
0181DD	0188F8
0181E2	0181DC
0181EF	01768B
0181F0	0181ED
0181FD	019677
018203	018204
019BF0	019C87
019BF6	019CA9
019BF7	019CC0
019BFA	018829
019BFF	019CCA
019C00	019CA9
019C09	019CC7
019C10	019CC4
018213	018210
018217	018216
018218	019986
01821D	018F96
018227	018224
018229	018239
01822E	01823B
019C4F	019C9F
019C51	019CC7
019C53	019CDD
019C54	019CDD
019C58	019C9F
019C77	019CC4
019EBD	014E48
019F44	019F47
019CEB	0196C1
019CEC	0151EB
019CEE	019E21
019CEF	0151E4
019D08	0196C1
019D0C	0151E4
019D0E	019E25
019D0F	0173B3
019D1C	0196CC
01826A	016A79
01826B	01823B
018276	018273
018281	01827D
01828C	01828B
01829A	016625
019D44	019E31
019D49	019E3E
019D55	019D54
019D5E	019E45
019D6D	019CF9
0182C5	015208
019D70	0196D5
019D76	019E26
018445	0183F9
0158EA	015846
0158EF	0158EE
015B0A	015B3F
0158F1	0158F9
0158F2	015356
016319	014E3E
015BBB	015BC6
015850	015851
0158F7	0158F6
016331	016332
0158FB	015A7F
015BB7	0191C7
016317	016289
016299	01634A
0164F9	01644A
019887,017740	019887,018457
015856	01584D
016344	016551
015B7E	015A74
016B68	016B65
015901	0158F9
017197	01709D
015AF2	015B37
015908	01658B
015909	0153D8
01635B	0165C5
016B40	016B3E
017133	01721D
01585C	015873
017067	016EDF
01585F	01846C
019F67	01556E
015913	01590F
015BC0	0191C7
01591D	016674
016285	0162D8
015A79	015060
01599D	015986
015923	0168A6
01593E	015939
016FF6	019614
0166CF	015411
016FDC	016D55
016FDA	016E81
016F42	016D2A
015936	016BD4
016B0E	0190C1
016FD4	016CB5
016B11	016AD5
015AFF	015A73
017013	016F84
015860	015806
019E76	0177DC
016BEC	017403
017124	018150
017196	017130
015AAB	015A55
015DA2	015CE3
016AD3	016A79
0164ED	0162A4
016B09	014E1B
016275	0165BC
015BC3	0151A4
015AF0	015AE9
017072	017071
015E92	015E84
015BC8	019752
015861	01586B
015B03	015AAD
015862	01575E
015900	015BFF
019E7B	017877
015866	019635
016F0A	016E87
01685E	0167F3
0165C8	0165D2
01698E	0169DA
01617F	0151ED
0163FA	016447
016909	014E58
0163A6	015254
016973	016885
016648	01768E
015C19	015C1A
016119	01606A
015867	019698
016F99	016F5F
015869	0176D0
019F04	0186DB
015A87	014EB2
01586A	0157F3
01699F	016893
015B52	015B53
01724E	017A97
016724	016717
019EAB	019762
019EAC	019EB8
019EB1	019EB8
015CE9	015CE8
015B0D	017F8E
019DC4	019E21
0171EA	01719C
019ED9	019ED8
016406	016784
0172B2	018C7A
01685C	016A31
017134	01715C
019F03	0186D9
017215	0171EE
017212	0171CE
017211	01721D
01709B	015149
016F9D	016CDE
016FF3	016F5C
016463	0163F8
0159E2	015A1F
015841	015792
016ED9	016C47
0166AC	014EB5
01649A	01637B
015DDA	015DD8
019E16	019DB4
016CD8	016EF9
015D46	015D47
015B6F	016394
0164B3	0163FF
019F45	0155C5
0164B9	016405
019EAF	0166F2
015872	01573A
019E7C	017877
0164B6	015212
015EC3	015E9F
015D57	015C81
016EDB	016DEB
016618	016609
015B86	017A79
015D60	016EAA
019F56	017259
015EF5	015DE1
016F79	016F7A
0164D1	0163A5
015D6E	015DC5
019F69	0154AC
015D73	015D6F
016926	0168EC
0171D1	0170D4
0163BB	016414
0164EE	01622A
01633F	0163D2
015D7C	015D43
01691D	0189C4
016E7B	016DF3
015D83	015D2D
015D84	015D2D
0164E1	0162AC
016967	0167CD
0166C4	016654
016830	017B4F
015D94	015D5A
015B9F	015B9E
015D96	015D26
015D9A	015D9B
0169A6	015E72
016C53	016CC5
01621E	01621B
0166AD	0166A4
015DA4	015DA2
0168B8	0168A8
016226	016218
0164F5	016469
015C12	015C14
016589	019F50
0168A5	01677E
016895	016752
015B7C	015B7D
0158B6	0157AF
01657A	019A71
0163BD	0178B0
0166FD	0166FE
015C1B	014E48
017271	017241
017287	015954
016A9F	0169DA
016A24	016761
016A29	016743
0171D3	01711A
016A2C	0168C7
016A10	016A79
01656D	01626C
015FB3	015FB7
016A4A	0169B4
016827	0167BB
016586	016569
016585	016569
0158C3	017586
016588	015B66
0171D0	0178F7
017257	017256
015EFB	0156DE
01658A	019F50
0161FD	016B22
016804	018363
015B91	019631
01659A	01659D
01621D	018D3C
016E0F	016F2A
015DAE	019669
016B74	015386
015DB3	015730
0171CC	01711A
015DB8	015D58
0161EF	016024
015DB9	015C9B
016A6E	0167F3
016A70	0169D4
015AF5	0159A9
015C23	015C2A
0165D1	0165D6
017108	017199
015DD7	015CA9
0165DC	0165C3
015C26	015C25
0165D9	015E61
015DE3	015DE2
0158B7	0170E8
0165E4	017978
015E47	015E2E
016A86	016749
0165E3	0165E2
015E2F	015E26
015877	015364
01587C	017816
0165EA	01534F
0172AB	0172A8
0169FC	0189C4
016A8F	016734
015E77	015E76
0158CD	015811
0158C6	015B66
01662C	01660F
017282	017281
016FC7	016DA9
016AD0	0185DF
0158DC	01575B
016638	0151AC
015ED0	0153A9
016AD8	0169E5
016FC5	016D78
015C29	015C2A
017010	017038
015ED5	01836B
015EBB	015EB6
015F0C	0158F9
016A53	018563
015EF8	018FEA
01663B	016602
016AE3	0168BF
015F0E	0153C1
0166A0	017693
015EBA	01677E
015F10	018D30
015F5B	015F5D
015C5B	015C4F
0167FE	0167E9
015F5E	015F5D
01663F	0165F7
015F83	015F80
015F72	015F68
016AF3	01680A
0170EE	0170C8
016AF5	016A35
0172A0	01727A
016650	018D45
015F8F	01965F
01668E	016620
015C2D	015C27
016E8C	016CFC
016AFD	016A83
016692	016674
016A37	014E1B
015FA4	015065
017274	0162B5
015FDB	015E06
015FCE	014EC1
016719	01660E
015FE2	01609F
016B05	016989
015B2D	015976
0171C4	017130
017002	016F9B
0159E7	015978
01596C	015956
016F81	016DA9
016B14	016B0B
016023	015C24
0166C1	0166A8
016C8D	0151B1
016A62	01692D
016F41	01988D
015C32	015C34
017250	0195F8
01603A	01607F
016B1D	0190C1
0170FE	018D64
016822	0167CF
016056	01601D
0158C4	0191CE
0171AB	017099
015A8D	015987
015FB4	015F81
01701E	0151C0
015C36	015C34
01638B	0162B5
016071	0160A6
016716	016717
016B35	016B3E
019DAE	019E64
0171FA	017187
016159	0160ED
016205	016206
0164D5	01643A
016870	01681D
016207	016206
016815	01686D
015BA9	015C4E
019DA5	019E5B
019DBD	0196BC
016128	0160AB
019DBF	019E5A
019DC0	019E5A
019DC6	019DCF
01681E	01520A
0167BE	0167FF
015B46	015A74
019E78	017877
019EBA	019762
019EBC	014E48
019EBF	017E3B
019ED2	019ED1
019EF1	019EDB
019F05	018718
0160D2	01548C
0166E1	0153E0
0160D6	0160D5
0166E0	0165F7
019F53	019F80
019F5A	019F70
019F65	019F5B
019F76	01816D
015B44	0161D2
016ADF	01680E
0160E5	01607F
0160EA	015FB7
0160FD	0160DB
015DA3	015D95
015DA8	015CC3
016110	0152C9
016112	0161A9
016702	0152D6
015DCC	015CA9
015DD3	015DC5
01611E	0161E6
016FEC	016D5A
015E5A	015E2E
015E5F	015E1C
015E64	015E01
015E71	018955
015E82	014EC4
015E83	015E7F
015E85	014E48
015EBD	015BD3
015EBF	015E99
015EC0	015ECB
015EC4	0153A9
015ECE	015EBC
015ECF	0153A9
016131	015AC9
016B57	015578
015EF0	015385
015EF9	018FEB
016133	0160E7
015EFC	014E43
015EFD	015EFB
015F09	015958
016135	0160C4
016139	016111
015F5A	015F59
015F5C	015F5D
015F5F	0184A6
015F60	0184A6
015F93	014ECE
015F94	014ECE
015FA3	01501F
015FA7	01904D
015FAC	015F77
015FB0	015F81
015FBA	014FA5
01613D	01535A
015FC8	014EC1
015FDC	015E94
015FE9	015306
015FF0	0160B4
016031	015306
016060	01602A
016061	01541D
016074	015FB7
016075	0160E0
016077	016058
0160DE	016B23
016102	016096
016107	0197EA
015B39	015174
016138	016574
016153	01527D
016174	016151
01617B	017737
016B69	016B65
016186	0177A0
016722	01671B
0161D5	016079
016B6C	01524D
0161F4	015FCF
016B6E	016DA9
015B3A	016635
016227	016217
01622F	01620F
016236	016237
016239	015384
016257	015728
01629D	0162D7
0162A6	0179C9
0162C0	0167F7
01716B	0171E7
016335	015F04
016337	016412
01635C	01641C
016366	0164D2
01637F	016816
016164	0160AB
0163B1	016252
0163B2	0163ED
0163B6	016377
016E15	016E0A
0163D1	01634F
0163DA	01626C
0163DC	0163A9
0163F7	0163D2
0163F9	0180CC
016403	01603B
016407	0163FF
016617	016603
0158E0	015784
016460	016374
016481	017275
016483	0151FB
016486	016487
0158E1	01777F
01648E	0163D6
0164A1	0164CD
0164A2	0163B8
0164AF	0164C6
0164BF	0168C0
0164C8	016251
016C96	0151B2
0164DD	0163B9
0164E3	016363
0164E5	0163FD
0164E7	014E3E
016502	0164C2
016505	016512
01616F	014F24
01651F	016343
016558	0153D9
01655F	015178
016B73	015C81
01656A	016387
01657D	01657F
01657E	017F2E
01658E	01658B
016598	015347
0165AE	0165AB
01617D	01621A
0165BE	0165C6
0165C2	0165D7
0165C9	016577
0165D8	015E1C
0165DB	015E61
0165FE	016625
01661A	01614E
016637	016E29
01718B	01718A
01664D	0166C8
0167D5	016959
016698	0165F8
01669C	01666E
01669E	0166D2
0166A6	015386
0166C5	016654
016B77	015386
0166D3	0166B4
0166D7	016654
0166E8	01663D
016B7A	016B79
0166EF	0170DB
0166FA	0166F9
016707	0188E8
016185	016078
01672E	01672F
017114	017130
0167B4	0162D0
0167D7	01677E
017050	017005
0167FB	0167E5
016801	0167F3
016802	016885
01685A	0162F6
01686E	01676F
01687A	0167F3
016898	0167A7
0168E5	016A0A
0168F2	016816
016900	017897
017160	0170B8
01691C	0168C0
01693E	017B3A
01694D	01715C
016955	01692D
016961	016986
01698F	018257
0169E9	016982
0169EA	016982
0169EE	01692E
016191	0151ED
0169F9	0169D4
016BBB	0158F3
016A0C	01704C
0158D0	0173BA
016187	0161A9
0171B4	01711C
0161D0	016000
0161D3	0150FE
016B80	01592D
015B3E	0161D2
0158CE	0157D9
016BE9	0197A0
016BF1	0197A0
016BF4	015C44
016BF6	016BFF
016BFA	016BF9
016C02	017266
016C08	016BE1
016C0A	016BE1
016C12	016A5B
016BCE	016BCF
016C17	016C14
016C1D	016C16
016C1E	016C16
016C2D	016C21
016C31	016C27
016C37	0151B0
0161DD	0162DF
016C3C	016EBA
016C45	016C94
0161DE	018499
016C59	016C61
016C5A	016C61
016C63	016C3F
016C6C	019631
016C7A	0151B3
0171D7	0170C2
016C92	016CA1
016C97	01971F
016CA0	016D3E
016CA2	016CFD
016BD8	016BD7
0171C1	0170E8
016D44	0151C0
016D71	016F18
016D81	016E17
016D99	016CEA
015D3B	015CD9
016DE9	0151CC
016DF8	016E05
016DFE	01996E
016DFF	016CCA
016E01	016E0A
016E06	016E0A
016E07	016E34
016E08	016D4E
016E09	016D89
016E0B	016DA9
016E13	016EAA
016E22	016CA8
016E2A	016FE1
016E6C	016E6B
016E7A	016D8E
016E7C	016D85
016E7D	016DC4
016E84	016D72
016E8A	016CE2
016E8B	0176C8
016E95	018499
016EA8	016E3D
016EAE	016D49
016EB3	016DA2
016EBC	016E7F
016EDD	016CF7
016EE3	016F18
016EFA	016D5F
016F11	016E89
016F25	016D3C
016F8F	016D5B
016F91	016E9C
016F9F	0151DB
016FA6	016EEA
016FB7	016F2B
017012	016DA9
017025	016EC8
017052	016FFD
017054	016EDF
01705C	01701B
017073	018F89
01707B	018D64
01707D	01707E
01708F	01708E
017097	015149
0170D5	01706D
0170E3	016062
0170F1	0170AF
01716D	0170C8
017188	017199
0171A6	01721D
0171EF	017227
0171F3	017167
017217	0170E8
017253	01699C
017260	015B83
01729B	017266
014E12	014E11
014E17	014E16
014E1F	014E22
014E20	014E18
014E21	014E24
014E23	019149
014E26	015E76
014E3C	014E95
014E55	01864E
014E57	014E58
014E62	014E10
014E63	017EA0
014E68	0159CB
014E75	018FDB
014E79	014E7E
014E80	019F9F
014E81	014E7E
014E8A	014E8B
014EED	015203
014EFA	014ED3
014EFE	014F4E
014F07	015F79
014F16	015E11
014F1C	015005
014F28	015F87
014F29	014FE1
014F31	014F60
014F35	014F90
014F37	0180C4
014F40	014F3C
014F47	014F2B
014F48	015E03
014F54	015360
014F71	016CD5
014F72	019169
014F75	015E76
014F86	016765
014F8A	0189E5
014F8C	019634
014F8E	017C73
014F96	014ED1
014F9F	015B58
014FA2	016234
014FAB	014F5E
014FAD	015C3D
014FB0	0150D2
014FBD	017537
014FCC	018F85
014FD4	014F23
014FE2	014FEE
014FE5	014F21
014FF2	016548
014FFB	015907
014FFC	019B3B
014FFD	016B23
015002	015E76
015008	014FEB
015042	01524D
015050	018D5D
015058	014F83
015067	015953
01506A	01903C
015078	015077
015079	015907
01507A	0154B1
01507C	015022
01507D	014F2A
015081	0153DF
01508C	019A82
015097	016EC0
0150A0	014F10
0150A1	015E76
0150A2,014FF1	015BB6,015177
0150C3	015907
0150CD	0152A8
0150D2	017A98
0150D8	01655E
0150DE	014F2A
0150DF	0151E0
0150E1	0160E0
0150E2	01821B
0150EB	016076
0150F2	014ED9
0150F4	0150E9
015101	014FCA
015135	01500F
015139	016512
01513D	0150AB
015142	017C2A
015147	0151F6
01514A	015151
01514C	015151
01514E	015154
01514F	01957F
015150	01513F
015152	01513F
015158	0159CB
015160	01515C
015164	016643
015166	014EA1
015169	014E24
01516A	014FDE
015172	015929
01517E	015180
01517F	01827A
015183	015E3D
015184	015189
01518A	01518C
01518E	015250
015190	015192
01519D	015B9C
01519F	019002
0151A1	018499
0151A3	016700
0151A6	015BC7
0151A8	015BCC
0151A9	015199
0151B4	018BB6
0151B8	016CEE
0151BA	016CEF
0151C2	016D7C
0151C3	016D82
0151C8	0151C0
0151D2	017691
0151D6	0151C6
0151DF	016E0E
0151E2	0151E1
0151E3	0151E1
0151E5	015C45
0151E6	015904
0151E8	0198CE
0151EC	0198CE
0151EE	0198CE
0151F2	015C34
0151F4	0151ED
0151FE	0151FD
015204	015203
015205	01521B
01520F	015209
015222	014F36
015225	01522B
015226	0152AB
015227	0152AB
01522A	015220
01522F	015256
015234	015241
01523C	0152AB
01523E	01523A
01524B	01514B
01524E	015239
01524F	01521B
015253	015299
015257	01522C
01528E	015251
015292	015251
015294	015251
015295	018D28
0152B4	0152B3
0152B7	01529D
0152B8	01903C
0152B9	016548
0152C5	016555
0152C8	0152C7
0152CA	01524B
0152CC	015026
0152CE	01622E
0152D1	016765
0152D4	0152C9
0152D7	0152D6
0152DB	0152CB
0152E0	01622E
0152E1	01527D
0152E5	01729F
0152E6	01527F
0152E7	01529D
0152E9	0152DA
0152EA	018DF7
0152EE	015267
0152F2	0152CB
0152FB	015300
015301	014E24
015302	015308
015303	014E10
015304	014E10
015314	015311
015318	018111
01531B	0167E9
01531E	015320
01531F	017095
015325	017B32
015327	017BA7
015329	015321
01532F	016C47
015332	015941
015333	015941
015335	01691F
015336	0167E9
015342	018FC5
015344	015EFF
015346	015352
01534B	014E16
015358	015355
01535B	017387
015365	01897F
01536A	018282
01536D	01909B
015379	016064
01537D	015373
01537E	01816D
015380	01819D
0153C0	0160E0
0153C4	0153C2
0153C5	0153C2
0153CE	016536
0153CF	01592C
0153D3	01540F
0153DA	015047
0153DC	0153DF
0153DE	015C09
015422	015423
015433	015434
015436	015450
015449	015434
01545D	015443
015469	0155DC
01546A	015492
01548A	01548C
0154C5	018BBB
015500	018BF1
015515	015523
015516	0154D1
015518	01542F
01551A	015423
01555F	01542F
015560	0154F2
015592	0154B1
0155A6	015CA9
0155A8	014EAE
0155A9	0155BB
0155C1	01557C
0155CA	01551D
0155E0	01916A
0155F8	0155F7
01560B	0154EE
015611	01547C
015613	01556F
015617	015C1D
015628	015578
01562B	017136
015637	0155E5
01563D	015574
015644	015403
015649	015556
015650	015668
015651	0155E5
015655	015645
015656	01541F
01565B	01556E
01565D	01549D
01565F	015E94
015694	01568F
015696	015612
015699	01556E
01569E	0154F2
0156A0	016D4F
0156A2	0156CA
0156AA	015556
0156AC	0198A6
0156B2	014EB8
0156B5	01998B
0156BA	015683
0156BB	0156A3
0156C8	015453
0156CC	0182CF
0156CF	018270
0156D2	018C30
0156D3	01556E
0156D8	0156DE
0156D9	0156E0
0156E3	0156E2
0156E6	016E0A
0156EA	0156F1
0156EC	0156DE
0156EF	0156FD
0156F2	0156F4
0156F3	0156FE
0156F6	0156FD
0156F8	0165E5
0156FB	0156FD
0156FC	0180CE
015700	0156FD
015705	0151FD
01570E	015706
01570F	01570F
015711	015703
015712	0156ED
015717	0156FE
01571D	01571E
015721	01571F
015724	0158A3
0157C9	015CE1
0157D1	0154F2
0157D3	0157D2
0157DC	0191CE
0157DE	015824
0157E6	017897
0157F0	0191C7
0157F3	019677
0157FF	016CE5
015813	015CB8
015816	0157B4
015817	017A81
015818	01584D
015822	015821
015826	019636
01582F	015C2D
01583A	01754C
0158C0	0157E4
0158C7	01575B
0158CA	01574F
0158CB	0157B1
0158CC	0158E4
0158E5	015EDB
0158E6	0157D9
015968	015956
015969	015941
01599B	015AB8
0159DF	015793
0159F8	01598D
015A12	0159C6
015A24	015986
015A2C	0159A9
015A2F	015A31
015A54	016590
015A63	0159FB
015A6C	016DEB
015A6F	014E3D
015A7E	015077
015AEF	0150B2
015B22	015A18
015B43	015A18
015B5E	014FE1
015B61	0180CE
015B76	015B73
015B90	015B9C
015BBC	015BC7
015BC9	019E64
015C05	01514B
015C17	0183FD
015C1F	019C9C
015C20	019C9C
015C2B	015C2A
015C37	015C34
015C53	015C43
015C5A	016F0F
015C5C	015C49
015C5F	015C49
015C6B	015C69
015C73	014ED9
015C75	015CB8
015C76	014F1A
015C77	014F1A
015C80	0151FA
015CBA	015CAD
015CC0	015CAB
015D8C	015C9B
0158F5	0158EE
01648F	016326
0158FC	0158F6
015B60	0155E3
015918	01536F
0165B2	0165AB
015933	01592A
0170D6	01707E
016FD0	016E1A
015B00	0159AB
016397	01631C
016C3A	016C34
01591B	01591A
01706E	015149
0165B5	0165AB
017068	018D63
0163EB	0163EA
016238	016237
01623C	01536F
01697D	014E50
016F80	016DA9
016B7F	016B81
0161DB	015446
0166A3	016C14
0170C9	017115
015CDD	015CD2
01629C	0162D4
015CE0	015361
015CE2	015CDB
0164A6	01626F
0167BF	018616
015CEF	015CF0
015CF5	015D58
015A26	015AD4
016E80	016EE1
01594C	0170B9
017081	016C14
016142	01607F
01651C	01643A
016AA3	016A2F
015D52	015CA9
015D5F	015D14
019F57	019F82
015D8B	015C9B
016918	01695A
016144	016817
016814	015951
015D90	019686
0167BD	0167BC
015CDC	016CD5
0170A4	017167
0166F5	0166F3
015C13	015C14
016A1C	0167D8
015B82	015197
016A3F	01692B
015959	01755A
016A5C	016A5B
016A63	0167E0
016644	016643
015DBB	015DC0
015B8D	018089
015F14	01540A
01685F	016808
015E51	015FBD
016F04	016DAF
015F0D	018D30
016736	016735
015E30	015F52
0168F6	0168BE
019E0E	0183BA
016AF1	018616
016D96	018385
016DB1	016DA8
01597C	0159F9
016936	0168D5
016B1F	017F50
016EFB	016D50
0166D0	01661F
0158DF	015784
016033	01604D
0160E3	0163D4
015AFA	015A34
016B53	016B22
01613C	01614E
016B5A	017F2E
016150	016129
015B79	0164D8
016B5D	016581
016B6F	019F7F
016B71	018E35
016DDB	016D59
01720B	01718F
0167DF	016960
